Title,Abstract,DOI,Score,Trait Points,Species Points,Experiment Points,Interaction Points
Predation risk in tadpole populations shapes behavioural responses of prey but not strength of trait‐mediated indirect interactions,"Prey animals often respond to predators by reducing activity levels. This can produce a trait‐mediated indirect interaction (TMII) between predators and prey resources, whereby reduced foraging by prey in the presence of a predator causes an increase in prey resources. TMIIs play important roles in structuring communities, and it is important to understand factors that determine their strength. One such influence may be behavioural variation in the prey species, with indirect effects of predators being stronger within populations that are more responsive to the presence of a predator. We tested 1) whether the behavioural responsiveness of populations of wood frog tadpoles to predator cues was related to the predation risk in their native ponds, and 2) whether more responsive tadpoles yielded stronger TMIIs. To do this, we 1) measured the activity of tadpoles from 18 populations in mesocosms with and without caged predators, and 2) measured changes in the biomass of periphyton (the tadpoles’ diet) between predator treatments for each population. We found that tadpoles from higher predation risk ponds reduced their time outside refuges more in the presence of predators and tended to move less when visible, suggesting possible local adaptation to predation regimes. Though the presence of predators generally resulted in higher periphyton biomass – a TMII – there was no evidence that the strength of this TMII was affected by variation in tadpole behaviour. Foraging activity and general activity may be decoupled to some extent, enabling high predation risk‐adapted tadpoles to limit the fitness costs of reduced foraging when predators are present.",https://doi.org/10.1111/oik.01488,0.4740740740740741,0.4444444444444444,0.5185185185185185,0.5555555555555556,0.5555555555555555
Top predators suppress rather than facilitate plants in a trait-mediated tri-trophic cascade,"Classical ecological theory states that in tri-trophic systems, predators indirectly facilitate plants by reducing herbivore densities through consumption, while more recent work has revealed that predators can generate the same positive effect on plants non-consumptively by inducing changes in herbivore traits (e.g. feeding rates). Based on observations in US salt marshes dominated by vast monocultures of cordgrass, we hypothesized that sit-and-wait substrate-dwelling predators (crabs) could actually strengthen per capita impacts of potent grazers (snails), by non-consumptively inducing a vertical habitat shift of snails to their predation refuge high on canopy leaves that are vulnerable to grazing. A two-month field experiment supported this hypothesis, revealing that predators non-consumptively increased the mean climbing height of snails on grasses, increased grazing damage per leaf and ultimately suppressed cordgrass biomass, relative to controls. While seemingly counterintuitive, our results can be explained by (i) the vulnerability of refuge resources to grazing, and (ii) universal traits that drove the vertical habitat shift—i.e. relative habitat domains of predator and prey, and the hunting mode of the top predator. These results underline the fact that not only should we continue to incorporate non-consumptive effects into our understanding of top-down predator impacts, but we should do so in a spatially explicit manner.",https://doi.org/10.1098/rsbl.2011.0166,0.44666666666666666,0.4,0.3333333333333333,0.8,0.5333333333333333
TRAIT-MEDIATED EFFECTS IN ROCKY INTERTIDAL FOOD CHAINS: PREDATOR RISK CUES ALTER PREY FEEDING RATES,"The influence of predation on rocky intertidal community structure has long emphasized the importance of indirect interactions. Most efforts in this area have focused on the density-mediated, or lethal effects, of predators on prey density. Recently, there has been growing interest in trait-mediated indirect interactions (TMIIs): the presence of a predator in the environment influences the interaction between two other species (prey and their resource) by altering a trait of the prey species. For example, waterborne cues released by predators can cause changes in prey species behavior, such as feeding rates, thereby altering the impact of the prey species on their resources. Thus, TMIIs represent the nonlethal effects of predators that contrast with the more traditional emphasis on lethal indirect effects. Marine ecologists are just beginning to explore the role of TMIIs in their systems. We examined whether risk cues released by a ubiquitous crab predator (Carcinus maenas) influence the abundance of two dominant species in the rocky intertidal zone (barnacles [Semibalanus balanoides] and fucoid algae [Ascophyllum nodosum]) by altering the behavior of two of its snail prey (Nucella lapillus and Littorina littorea). We found that the presence of green crab risk cues can have strong cascading indirect effects on the abundance of barnacles and fucoid algae. N. lapillus exposed to risk cues consumed up to 29% fewer barnacles compared to conspecifics feeding in the absence of risk cues, whereas L. littorea exposed to risk cues consumed 459% fewer fucoids compared to conspecifics feeding in the absence of risk cues. These cascading interactions appear to reflect suppression of snail feeding by predator risk cues. In both food chains, snails exhibited more refuge-seeking behavior and grew less in the presence of risk cues. Our experiments suggest that TMIIs may have an important and underappreciated influence on species interactions that shape community dynamics on rocky intertidal shores. Corresponding Editor: P. T. Raimondi",https://doi.org/10.1890/0012-9658(2003)084[0629:tmeiri]2.0.co;2,0.40476190476190477,0.42857142857142855,0.2619047619047619,0.2857142857142857,0.5
Trait‐mediated foraging drives patterns of selective predation by native and invasive coral‐reef fishes,"Abstract As the geographic ranges of species are increasingly altered by forces such as biological invasion and climate change, when and where will strong biotic interactions arise within reassembling communities? Prey selectivity data are often of limited use for predicting future consumptive interactions because they are specific to the identity and relative abundance of species in past assemblages. Here, we investigate whether the strength of consumptive interactions can be predicted based on a priori knowledge of behavioral traits that are hypothesized to affect the predation process and recur across species. To test this approach, we conducted multi‐species foraging trials with coral‐reef fishes in the Bahamas, a diverse, trait‐rich fauna for which interactions are likely shifting rapidly due to the introduction of predatory Indo‐Pacific lionfish. We evaluated predictions about the combined effects of three behavioral traits—water column position of both predator and prey, anti‐predator aggregation behavior of prey, and hunting strategy of predators—on successive phases of the predation process and ultimately the strength of predator–prey interactions. Tracking predator and prey behaviors revealed that inter‐specific variation in traits mediated relative encounter, attack, and capture rates between different predators and prey. Behaviorally driven bottlenecks at different stages of the process underpinned selective consumption by each predator species, resulting in large differences in total mortality rates among prey species. Our analysis also suggests that unique behaviors exhibited by invasive lionfish, rather than naïve responses by prey, mediate their high foraging success relative to native predators. Our results illustrate how incorporating a priori knowledge about foraging and anti‐predator traits can improve predictions of the strength of emergent consumptive interactions caused by global change.",https://doi.org/10.1002/ecs2.2752,0.39259259259259255,0.3333333333333333,0.14814814814814814,0.7777777777777778,0.6666666666666666
TRAIT-MEDIATED INDIRECT EFFECTS IN LARVAL ANURANS: REVERSING COMPETITION WITH THE THREAT OF PREDATION,"Ecologists recently have been focusing on the role that trait-mediated indirect effects can have on community structure and composition. To date, this work has primarily focused on the effects of predator-induced behavioral plasticity on communities. However, predator-induced morphological plasticity, which has been documented in many taxa, might also lead to trait-mediated indirect effects. Here, I examined how predators altered the behavior and morphology of larval wood frogs (Rana sylvatica) and leopard frogs (R. pipiens) and how these phenotypic changes altered the outcome of competition between the two species. Competition in the absence of caged predators was asymmetric; when reared separately, leopard frogs grew more than wood frogs, but when competing (without predators), wood frogs grew faster than leopard frogs. The presence of caged predators reversed the outcome of competition between the two anuran prey. In the presence of larval dragonflies (Anax spp.) or caged mudminnows (Umbra limi), leopard frogs grew faster than wood frogs while total tadpole biomass production remained unchanged. Thus, there was a predator-mediated indirect effect. Because predators alter both the behavior and morphology of larval anurans and both of these traits are known to affect resource consumption and growth, both are potential mechanisms to explain the change in competitive outcome. Changes in behavior were not related to changes in growth, but changes in morphology (specifically mouth width and tail length) were related to changes in growth. When competitors were added (without predators), wood frogs increased their mouth width by 10% and their tail length by 3%, while leopard frogs increased their mouth width by 5% and did not change their tail length. The greater increase in mouth width for wood frogs should increase their forage intake, since tadpoles feed by scraping periphyton; the importance of a 3% longer tail in competitive ability is unknown. The presence of the predator threat (via chemical cues from the caged predators) reduced both the mouth width and tail length in the two prey species to pre-competition levels. This response corresponded with the reduced competitive ability of the wood frogs. This work demonstrates that both competitors and predators can alter prey morphology and suggests that changes in morphology can cause trait-mediated indirect effects.",https://doi.org/10.1890/0012-9658(2000)081[2278:tmieil]2.0.co;2,0.3777777777777777,0.4,0.26666666666666666,0.13333333333333333,0.5777777777777777
Fearing the feline: domestic cats reduce avian fecundity through trait‐mediated indirect effects that increase nest predation by other species,"Summary Urban areas contain high densities of non‐native species, which in the UK include the domestic cat F elis catus ( L innaeus 1758) and the grey squirrel S ciurus carolinensis ( G melin 1788). The direct predation effects of domestic cats on prey populations attract intense debate, and such influences of the nest‐predatory grey squirrel are receiving increasing attention. In contrast, theory predicts that sublethal and indirect effects are more important, but empirical evidence is currently lacking. We conducted controlled model presentation experiments at active urban blackbird T urdus merula ( L innaeus 1758) nests to provide the first empirical evidence that quantifies the potential sublethal and indirect effects of predators (domestic cat and grey squirrel) on avian reproductive success. Domestic cat models reduced subsequent parental provisioning rates, a strong indicator of sublethal effects, by one‐third relative to a nonpredatory rabbit O ryctolagus cuniculus ( L innaeus 1758) control. There was no compensatory increase in food load size. Previous experiments demonstrate that this magnitude of reduced food delivery will reduce nestling growth rates by c. 40%. The grey squirrel model induced similar but weaker effects. Following the brief presence of the domestic cat model, subsequent daily nest predation rates, chiefly by corvids, increased by an order of magnitude relative to the squirrel and rabbit models. The intensity of parental nest defence elicited in response to model presentations predicts the probability of such third‐party predator predation events, and the domestic cat model generated significant increases in nest defence behaviour. Synthesis and applications. The brief presence of a domestic cat at avian nest sites reduces subsequent provisioning rates and induces lethal trait‐mediated indirect effects. We provide the first robust evidence for these latter effects in any avian predator–prey system, although they are likely to be common in many avian assemblages with high predator densities. It is imperative that future assessments of the impact of predatory species on avian prey species take lethal trait‐mediated indirect effects into account, as so doing will prevent biased estimates of predator effects and facilitate the design of more effective control strategies. Full mitigation of the sublethal and indirect effects of domestic cats would problematically require permanent indoor housing.",https://doi.org/10.1111/1365-2664.12025,0.3644444444444444,0.3333333333333333,0.17777777777777776,0.6,0.5333333333333333
Trait-Mediated Effects of Parasitic Phorid Flies (Diptera: Phoridae) on Ant (Hymenoptera: Formicidae) Competition and Resource Access in Coffee Agro-ecosystems,"Predator effects on prey traits change competitive interactions between prey species affecting resource use. Parasitic phorid flies limit competitive-dominant ant activity, potentially meditating competitive interactions between ant species, changing competitive hierarchies, or affecting ant communities. I considered interactions between phorids (Pseudacteon sp.), their ant host (Azteca instabilis F. Smith), and co-occurring ant species in coffee agro-ecosystems testing whether phorids (1) limit A. instabilis recruitment activity, (2) affect competitive interaction between ant species, and (3) are associated with other species' resource access and therefore have the potential to change competitive hierarchies. I monitored recruitment of A. instabilis and other ants to baits over 90 min on canopy trees with or without phorids. A. instabilis were one-half as abundant with phorids. Other species gained access to baits 12 times more often and were only able to take over baits when phorids were present. Furthermore, many more species (13 versus 2) gained access to resources when phorids were present. These results indicate that phorids mediate competitive interactions between ant species and may influence ant communities by affecting resource availability. Considering that phorids limit A. instabilis attacks on herbivores and that ant species differ in effects on arthropod communities, phorids may have strong community-level effects in coffee agro-ecosystems.",https://doi.org/10.1603/0046-225x(2005)034[1089:teoppf]2.0.co;2,0.36296296296296293,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.7407407407407407
The demographic and life‐history costs of fear: Trait‐mediated effects of threat of predation on<i>Aedes triseriatus</i>,"Predators alter prey populations via direct lethality (density-mediated effects), but in many taxa, the indirect nonlethal threat of predation may be almost as strong an effect, altering phenotypically plastic traits such as prey morphology, behavior, and life history (trait-mediated effects). There are costs to antipredator defenses and the strength of prey responses to cues of predation likely depends on both the perceived level of risk and food availability.The goal of this study was to test the hypothesis that the costs of nonlethal trait-mediated interactions impacting larvae can have carryover effects that alter life-history traits, adult characteristics, and ultimately population dynamics.The effects of",https://doi.org/10.1002/ece3.5003,0.24166666666666664,0.25,0.25,0.0,0.41666666666666663
Trait- and density-mediated effects of predation on fecundity and fertility of <i>Aedes aegypti</i> (Diptera: Culicidae) mosquitoes,"Abstract Prey populations that encounter predators experience density-mediated effects through lethality and associated numerical changes in the population. Prey also exhibit trait-mediated effects through nonlethal alterations in phenotypic traits associated with exposure to predators. Immature stages of mosquitoes commonly co-occur in habitats along with predators, a natural source of mortality and potential biocontrol agent. Toxorhynchites rutilus Coquillett 1896 is a natural source of mortality with potential as a biological control agent. Previous studies have shown that predation and the mere presence of Tx. rutilus (predator cues) can alter the life-history traits of Aedes aegypti (L. 1762). In addition to observed reductions in recruitment of adults (lethality), exposure to Tx. rutilus without consumption resulted in adult Ae. aegypti females with altered growth and reduced lifespan. To determine the influence of predation on the reproductive biology of Ae. aegypti, we tested the hypothesis that predation, or exposure to predator cues, will compromise the reproduction of adult survivors through reductions in fecundity (egg batch size) and fertility (hatch rate). We observed that for both female and male Ae. aegypti, survival to adulthood was the lowest and development time the shortest in treatments containing prey removal effects, attributable to predation and treatment manipulations of density reduction. There were effects of Ae. aegypti weight, but not predation treatments, on fecundity and fertility. Results suggest that predator-mediated effects on Ae. aegypti derive from lethal effects due to consumption and alterations in other phenotypic traits of survivors, including development, weight, lifespan of adults, and population growth, but not reproductive parameters measured here.",https://doi.org/10.1093/jme/tjad146,0.23809523809523808,0.21428571428571427,0.07142857142857142,0.5,0.3095238095238095
Aphid symbionts and endogenous resistance traits mediate competition between rival parasitoids,"Insects use endogenous mechanisms and infection with protective symbionts to thwart attacks from natural enemies. Defenses that target specific enemies, however, potentially mediate competition between rivals and thereby impact community composition. Following its introduction to North America to control pea aphids (Acyrthosiphon pisum), the parasitoid Aphidius ervi competitively displaced other parasitoids, except for the native Praon pequodorum. The pea aphid exhibits tremendous clonal variation in resistance to A. ervi, primarily through infection with the heritable bacterial symbiont Hamiltonella defensa, although some symbiont-free aphid genotypes encode endogenous resistance. Interestingly, H. defensa strains and aphid genotypes that protect against A. ervi, provide no protection against the closely related, P. pequodorum. Given the specificity of aphid defenses, we hypothesized that aphid resistance traits may contribute to the continued persistence of P. pequodorum. We conducted multiparasitism assays to determine whether aphid resistance traits mediate internal competition between these two solitary parasitoid species, but found this was not the case; P. pequodorum was the successful internal competitor across lines varying in susceptibility to A. ervi. Next, to determine whether resistance traits influence competitive interactions resulting in the stable persistence of P. pequodorum, we established replicated cages varying in the proportion of resistant aphids and recorded successful parasitism for each wasp species over time. As expected, A. ervi outcompeted P. pequodorum in cages containing only susceptible aphids. However, P. pequodorum not only persisted, but was the superior competitor in populations containing any proportion (20–100%) of resistant aphids (20–100%). Smaller scale, better replicated competition cage studies corroborated this finding, and no-competition and behavioral assays provide insight into the processes mediating competition. Genetic variation, including that acquired via infection with protective symbionts, may provide a supply of hosts susceptible only to particular enemies, mediating competition with effects on community richness and stability.",https://doi.org/10.1371/journal.pone.0180729,0.21111111111111108,0.16666666666666666,0.05555555555555555,0.4166666666666667,0.47222222222222215
Differential vulnerability to predation in two sympatric whelks is mediated by juvenile traits,"Abstract In many taxa, initial differences in offspring size play an important role in mediating subsequent performance; however, the consequences of interspecific variation in size for the performance of co‐occurring taxa have been rarely examined. We used the whelks C ominella virgata and C. maculosa, which co‐occur on rocky shores throughout their life cycles, to examine the vulnerability of early life‐stages to native predators under controlled laboratory conditions. Among all the predators evaluated (the cushion sea star P atiriella spp., the olive rockfish A canthoclinus fuscus, the oyster borer snail H austrum scobina, the smooth shore crab C yclograpsus lavauxi, and the pebble crab H eterozius rotundifrons ), hatchlings of both species ( C. virgata : ~3 mm shell length [ SL ] and C. maculosa : ~1.5 mm SL ) were especially vulnerable to the smooth shore crab C y. lavauxi, the only potential predator in which mortality was greater than in the control treatment. Small shore crabs (~8 mm carapace width [ CW ]) were unable to eat hatchlings of either whelk species, whereas medium and large shore crabs (~12 and ~18 mm CW, respectively) consumed hatchlings of both prey species. Hatchlings of C. virgata were less vulnerable to predation by medium crabs than large ones, and those of C. maculosa were equally vulnerable to both sizes of crabs. In hatchlings of both prey species, shell length and shell thickness increased over time. Two months after hatching, only individuals of C. virgata had reached a size refuge from predation. Our results show that interspecific vulnerability to predators can be mitigated by larger sizes and thicker shells at hatching; nonetheless, our results also suggest that other species‐specific factors, such as juvenile growth rate, may also play key roles in determining the vulnerability of hatchling and juvenile snails to shell‐crushing predators.",https://doi.org/10.1111/j.1744-7410.2012.00274.x,0.19,0.1,0.1,0.4,0.7000000000000001
Fish predators reduce kelp frond loss via a trait‐mediated trophic cascade,"Abstract Although trophic cascades were originally believed to be driven only by predators eating prey, there is mounting evidence that such cascades can be generated in large part via non‐consumptive effects. This is especially important in cascades affecting habitat‐forming foundation species that in turn, influence associated communities. Here, we use laboratory and field experiments to identify a trait‐mediated indirect interaction between predators and an abundant kelp in a marine temperate reef system. Predation risk from a microcarnivorous fish, the señorita, suppressed grazing by the host‐specific seaweed limpet, which in turn, influenced frond loss of the habitat‐forming feather boa kelp. This trophic cascade was pronounced because minor amounts of limpet grazing decreased the strength required to break kelp fronds. Cues from fish predators mitigated kelp loss by decreasing limpet grazing; we found 86% of this indirect interaction between predator and kelp was attributed to the non‐consumptive effect in the laboratory and 56% when applying the same effect size calculations to the field. In field manipulations, the non‐consumptive effect of señorita was as strong as the total predator effect and most importantly, as strong as the uncaged, “open” treatment with natural levels of predators. Our findings demonstrate that the mere presence of this fish reduces frond loss of the feather boa kelp through a trait‐mediated trophic cascade. Moreover, despite large volumes of water, current flow, and wave energy, we clearly demonstrate a strong non‐consumptive effect via an apparent chemical cue from señorita, suggesting that chemically mediated trait‐driven cascades may be more prevalent in subtidal marine systems than we are currently aware.",https://doi.org/10.1002/ecy.2380,0.18888888888888888,0.1111111111111111,0.14814814814814814,0.5555555555555556,0.4074074074074074
Relative strengths of trait‐mediated and density‐mediated indirect effects of a predator vary with resource levels in a freshwater food chain,"Predators can affect the density and traits (e.g. morphology, behavior) of their prey, and either change may influence how prey interact with their resources. Thus, predators can interact indirectly with resource species (i.e. two trophic levels below) through two separate mechanisms. The relative strengths of these two kinds of indirect effects have rarely been compared directly, and how their relative importance varies across environmental gradients is virtually unknown. We investigated the relative strength of trait‐ and density‐mediated indirect effects of the predatory insect Belostoma flumineum on algal communities through predation on the pond snail, Physa gyrina, across a gradient of basal resource abundance. Because prey balance the benefits of foraging against the increased risk of predation while foraging, the availability of the prey's resource should influence the strength of anti‐predator behavioral responses and hence the strength of trait‐mediated indirect interactions. Belostoma presence had positive indirect effects on resources as expected and total predator effects were constant across the basal resource gradient. At low initial resource levels, trait‐mediated indirect effects on algal biomass exceeded density‐mediated indirect effects, while at high initial resources the reverse was true. Snails showed similar habitat use across the resource gradient suggesting that the anti‐predator response was most likely a depression of activity levels.",https://doi.org/10.1111/j.0030-1299.2005.13869.x,0.1875,0.125,0.16666666666666666,0.375,0.4583333333333333
Unravelling host-mediated effects on hemiparasitic Mexican mistletoe<i>Psittacanthus calyculatus</i>(DC.) G. Don traits linked to mutualisms with pollinators and seed dispersers,"While the influence of mistletoe–host interactions on each other's evolution is well-recognized, the role of interactions between mistletoes and its mutualistic pollinators and seed dispersers mediated by host species is relatively unexplored. Here, we examine the effects of host species (Mexican hawthorn Crataegus mexicana DC, black cherry Prunus serotina Ehrh., leather-leaf Mexican oak Quercus crassipes Bonpl.) on flower morphology, nectar production, pollinator visitation rate and female reproductive fitness in hemiparasitic Mexican mistletoe Psittacanthus calyculatus (DC.) G. Don (Loranthaceae) populations at three different locations. We first measured the lengths of corolla, style, stamen, exerted stamen and anther, the length and width of the ovary and nectar availability for mistletoe flowers in natural populations. Then, we evaluated flower visitation and measured (length and width) and weighed the fruits and its seeds of mistletoes growing on each of the three host species. Finally, we evaluated the effects of host species, location and flower traits on fruit or seed size variation (both as proxies of reproductive fitness). We found mistletoes growing on natural hosts P. serotina and Q. crassipes produced larger flowers, fruits and seeds than mistletoes on cultivated C. mexicana. However, these differences varied across space. The amount of available nectar and hummingbird visitation rates in flowers of mistletoes on C. mexicana was higher at the three sites than in flowers of mistletoes on P. serotina or Q. crassipes. The effects of host species, study site and floral trait covariates affected significantly all fitness measures, indicating that mistletoes' reproductive fitness is affected differently depending on the host species and their site of occurrence. These host-associated differences in reproduction might have implications for interactions with mutualistic vectors.",https://doi.org/10.1093/jpe/rty008,0.16666666666666666,0.09090909090909091,0.1212121212121212,0.45454545454545453,0.45454545454545453
